,Restaurant,url
103,98. Restoran Yusoof dan Zakhir,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d1165565-Reviews-Restoran_Yusoof_dan_Zakhir-Kuala_Lumpur_Wilayah_Persekutuan.html
104,99. Lemon Garden,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d815127-Reviews-Lemon_Garden-Kuala_Lumpur_Wilayah_Persekutuan.html
105,100. Tujo,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d4778126-Reviews-Tujo-Kuala_Lumpur_Wilayah_Persekutuan.html
106,101. AQUA Restaurant & Bar,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d8401491-Reviews-AQUA_Restaurant_Bar-Kuala_Lumpur_Wilayah_Persekutuan.html
107,102. Bombay Palace,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d969030-Reviews-Bombay_Palace-Kuala_Lumpur_Wilayah_Persekutuan.html
108,103. Shang Palace,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d1134195-Reviews-Shang_Palace-Kuala_Lumpur_Wilayah_Persekutuan.html
109,104. Dewakan Restaurant,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d7785726-Reviews-Dewakan_Restaurant-Kuala_Lumpur_Wilayah_Persekutuan.html
110,105. Kampachi Pavilion,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d919240-Reviews-Kampachi_Pavilion-Kuala_Lumpur_Wilayah_Persekutuan.html
111,106. Halab KL,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d10083838-Reviews-Halab_KL-Kuala_Lumpur_Wilayah_Persekutuan.html
112,107. Gobo Upstairs Lounge & Grill,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d919372-Reviews-Gobo_Upstairs_Lounge_Grill-Kuala_Lumpur_Wilayah_Persekutuan.html
113,108. Emily's Steakhouse Kuala Lumpur,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d17543167-Reviews-Emily_s_Steakhouse_Kuala_Lumpur-Kuala_Lumpur_Wilayah_Persekutuan.html
114,"109. WET Deck, W Kuala Lumpur",https://www.tripadvisor.com.my//Restaurant_Review-g298570-d15125498-Reviews-WET_Deck_W_Kuala_Lumpur-Kuala_Lumpur_Wilayah_Persekutuan.html
